model,train set images,pretrained,trained layers,accuracy,iou,recall,precision,f1-score,cohen kappa
resnet,"(835, 834.84)",False,False,0.25,0.0625,0.25,0.0625,0.1,0.0
resnet,"(835, 834.84)",True,True,0.3109504132231405,0.17153898892736177,0.3109504132231405,0.3297538027112922,0.28796977404413004,0.08126721763085398
resnet,"(835, 834.84)",True,False,0.4989669421487603,0.3202042974228611,0.4989669421487603,0.3211272447267827,0.36915629905084957,0.33195592286501374
resnet,"(2087, 2087.1)",False,False,0.25,0.0625,0.25,0.0625,0.1,0.0
resnet,"(2087, 2087.1)",True,True,0.27892561983471076,0.15360789895107776,0.27892561983471076,0.2930511606848475,0.2634583838147584,0.038567493112947604
resnet,"(2087, 2087.1)",True,False,0.9783057851239669,0.9580885477453618,0.9783057851239669,0.9794546441538411,0.9783495358170392,0.9710743801652892
resnet,"(4174, 4174.2)",False,False,0.25,0.0625,0.25,0.0625,0.1,0.0
resnet,"(4174, 4174.2)",True,True,0.24793388429752067,0.13945088091720387,0.24793388429752067,0.24296043502131226,0.24333521780353218,-0.0027548209366390353
resnet,"(4174, 4174.2)",True,False,0.9907024793388429,0.9817034316226235,0.9907024793388429,0.9909406779661017,0.9907156622438129,0.987603305785124
resnet,"(6261, 62613.0)",False,False,0.9214876033057852,0.8575644781275255,0.9214876033057852,0.9355938321822695,0.9203125969955396,0.8953168044077136
resnet,"(6261, 62613.0)",True,True,0.2262396694214876,0.10912498414600845,0.2262396694214876,0.2389599427116959,0.1936064774171169,-0.031680440771349794
resnet,"(6261, 62613.0)",True,False,0.9834710743801653,0.9678431636126541,0.9834710743801653,0.9841822022532188,0.9835331863294512,0.977961432506887
resnet,"(7514, 75135.6)",False,False,0.9473140495867769,0.9024254845683417,0.9473140495867769,0.9535947226462436,0.9473092337012085,0.9297520661157025
resnet,"(7514, 75135.6)",True,True,0.2799586776859504,0.14667397529823473,0.2799586776859504,0.275801475070573,0.24820168985186009,0.03994490358126723
resnet,"(7514, 75135.6)",True,False,0.981404958677686,0.9639668856840573,0.981404958677686,0.9825619270063713,0.9814465149834111,0.9752066115702479
resnet,"(8348, 83484.0)",False,False,0.9741735537190083,0.9503844028740661,0.9741735537190083,0.9756575551755804,0.9742521912130744,0.9655647382920111
resnet,"(8348, 83484.0)",True,True,0.2634297520661157,0.12518122745854354,0.2634297520661157,0.2619730982811738,0.21244145854881363,0.017906336088154284
resnet,"(8348, 83484.0)",True,False,0.9834710743801653,0.9678508281070872,0.9834710743801653,0.984379753726922,0.9834853531133755,0.977961432506887
resnet,"(20871, 20871.0)",False,False,0.981404958677686,0.9637649441871485,0.981404958677686,0.9823347898194809,0.9813942767651394,0.9752066115702479
resnet,"(20871, 20871.0)",True,True,0.24070247933884298,0.11899608011247612,0.24070247933884298,0.22063917751180198,0.20620978299308151,-0.012396694214876103
resnet,"(20871, 20871.0)",True,False,0.9886363636363636,0.9776559002232067,0.9886363636363636,0.9889381355643982,0.9886333353129633,0.9848484848484849
resnet,"(33394, 33393.6)",False,False,0.9907024793388429,0.9817383359125482,0.9907024793388429,0.9910358565737052,0.9907299979756079,0.987603305785124
resnet,"(33394, 33393.6)",True,True,0.3006198347107438,0.16963100587341887,0.3006198347107438,0.2860580929539711,0.28520820125586904,0.06749311294765836
resnet,"(33394, 33393.6)",True,False,0.9917355371900827,0.983708377024064,0.9917355371900827,0.9919125655163026,0.991734146451754,0.9889807162534435
resnet,"(41742, 41742.0)",False,False,0.993801652892562,0.9877532657957878,0.993801652892562,0.9939516129032258,0.9938115738262264,0.9917355371900827
resnet,"(41742, 41742.0)",True,True,0.18181818181818182,0.10186887433885537,0.18181818181818182,0.19372106993288676,0.1845026337735134,-0.09090909090909083
resnet,"(41742, 41742.0)",True,False,0.993801652892562,0.9877532657957878,0.993801652892562,0.9939516129032258,0.9938007001963965,0.9917355371900827
resnet,"(50090, 50090.4)",False,False,0.9907024793388429,0.9817383359125482,0.9907024793388429,0.9910358565737052,0.9907387786036144,0.987603305785124
resnet,"(50090, 50090.4)",True,True,0.31508264462809915,0.1710599420608908,0.31508264462809915,0.32416259068536013,0.28600668490557757,0.08677685950413228
resnet,"(50090, 50090.4)",True,False,0.9927685950413223,0.985716908961451,0.9927685950413223,0.9928967605825507,0.9927677324901096,0.990358126721763
